author_id;publication_id
148;184241,182878,182635,182220,181846,180335,175958,174847,174682,166726,166724,166547,166394,166373,166292,163391,162373,149032,148846,148655,147170,146875,146181,140727,137931,137930,136694,136690,129941,129927,129730,129726,129721,128540,128535,128529,126038,122347,122083,122081,122080,122071,120960,120898,120882,120829,120598,120594,115787,115732,115730,115729,114810,111128,110007,109898,109896,108599,106900,102696,101634
149;178744,172355,168756,168538,168534,165885,164128,161220,171448,162306,160997,160995,152465,149032,146877,146875,142636,140861,140727,137898,136694,136690,131311,129941,129730,128535,123075,120898,120829,120598,120594,115729,114814,110009,108264,105776,105771
150;161220,144998,144965,135083,115655,108263,106815
151;170772,168978,167414,167242,161284,139338,137995,135045,132077,129357,129143,128620,126979,124610,122362,121428,110686,109815,109765,109628
152;177572,173711,172355,168498,168337,167242,161278,148639,148494,144359,143500,140197,137985,137980,132105,132103,132072,132060,129143,128378,127446,125624,125623,121422,121417,117570,117042,110686,109795,109628,107420,107027,107006
153;161280,148500,145436,132826,129143,132640,110930,110686,109776
154;168497,167242,148652,140195,139892,139885,138770,138734,137609,137605,137251,134860,132110,132109,132106,132100,129143,128767,128766,128647,128621,126579,117834,117807,117570,109622,107419,186688
155;186673,174262,172210,171270,168948,163390,162428,162424,151065,149913,149912,149910,117927,117410,110104,108583,107156
156;175552,168826,152708,152702,151074,150194,180093,139558,139117,138943,134340,134342,134332,134331,134353,125933,117447,134351,134310,134302,110161,101392,134324,134308,100592,98009
157;183075,140926,121937,117817,110346
158;185691,160370,160358,149873,149634,145436,140645,140643,129009,128929,124550,121938,121930,121763,121560,109688
159;185688,178654,169721,116231
160;185692,183075,165886,161280,149873,149631,148500,141880,135449,144448,130404,129012,128745,122362,121938,121763,121639,121638,121633,121596,121594,121573,121560,116231,110726,110525,110349,109691,101828
161;178068,137229,131729,127268,123406,94522,94323
162;172058
163;186848,177123,176841,179725,165152,155636,152533,147319,141802,142207,136518,136489,134776,135535,135308,134068,134067,134066,134015,134013,134008,128352,126829,126611,125239,124667,124201,124766,120064,119363,114281,112310,112034,112029,107370,105919,100322,112090,100311,100308,100307,100306,94731
164;183545,170840,122854,116543,114422,113676,112192,112191,110842,105457
165;163645,134954,124439,187336,120707,100555,100409,98180,95800
166;153333,153331,152533,136884,131334,126821,116636,123039,105811,105809,100574,100575,100410
167;179992,133479,105458
168;186024,178068,172763,136513,135586,133779,132343,127226,124921,105460
169;181690,170567,168717,168677,168418,166964,164285,170622,162408,161745,157447,156092,163541,143523,142944,170628,170619,170681,170627,170626,170571,122598,121102,117171,122434,122431,122427,113678,113342,112854,112625,111234,107315,122769,118028,106475,106333,106267,106266,106259,103957,104713,98838
170;168448,163592,138872,123521,123445,116920,113467,113466,106331,98094
171;152867,163516,133502,123819,163514,113681,113037,113029
172;180426,172801,171984,171983,171703,168401,157453,152533,144674,143625,142156,145338,142480,141860,136152,135851,135339,135308,131347,131293,128149,127189,125881,125683,125654,125488,123910,123817,119681,116959,116203,115535,119670,112175,112046,105238,105290,105236,105234,99399,98632,98630
173;154167,142554,136590,138544,120059,113008,96256
174;186266,184100,181845,174347,171281,154587,152582,120175,117787,112403,136384,136383,136387,134781,136379,171327,136390,171742,137560,171326,171741
175;180933,164778,152587,138879,128241,123367,137562,104206,134781,96521,95963,171327,137560
176;152533,141802,138843,125695,115621,115620,112486,107382,106888,106793,105632,101269,101089,100315,97883,94306,106175,106036
177;187210,176777,174622,160785,152533,155855,144671,154762,138846,135818,128292,122626,113495,106888,103098,101268,100949,97937,94310,106039
178;151061,138872,134940,141309,135015,128259,123114
179;138668,151777,131028,130844,151776,151774,119095,119076
180;179641,178068,187093,187084,187112,187087,187076,187073,187050,143465,142080,142079,142059,136172,142083,122333,122332,122334
181;174396,137797,137120
182;186892,184125,184011,154361,166634,164630,163314,154128,153741,153583,152052,151682,146425,146310,146295,146289,145639,143198,163452,143112,143111,143102,137064,134392,134390,134388,132788,122183,117560,117377,117112,123288,113899,110231,109979,105274,97482,95428,95427,95404,95403
183;172363,156145,145870,134674,134676,134524,153819
184;179555,179554,174718,152244,148506,141948,140889,139160,136929,136926,136925,136924,136622,136620,136584,136581,132893,136624,134559,122223,120473,120803,109462
185;149563,132159,126756,123368,113014,134524
186;163923,147373,138856,137243,132160,126756,126697,126696,123368,121466,113014,112537,112535,112497,134524
187;126756,123368,113014,134524
188;173758,173749,160253,160437,134528,126756,125680,134511,131960,123368,134525,113014,135724,135723,134524,134494
189;179748,154504,154489,136274,134819,128597,128596,128593,125902,123410,117246,116423,114782
190;173731,163141,124720
191;174456,172827,153254,152174,145813,145710,145706,145673,141289,139087,136356,136344,130367,129244,127254,127211,127182,120570,120457,117998,117734,115625,115547
192;181848,174692,166371,140432,115711,109900,108598,105502
193;180767,180270,175318,174902,174900,174898,168159,169849,166141,166140,166046,161223,152788,150162,147469,147265,139526,137338,134178,137342,129814,128123,128119,128004,127999,127070,127069,127068,125487,119695,118578,114059,113051,113046,113055,111220,110697,110418,110417,108358,108355,143058,101083,99681,96650
194;186541,184247,184231,184080,183504,176418,175920,175767,173675,173674,172671,166782,168426,166253,166250,157271,157267,156722,155094,153774,153293,153284,154533,148800,148799,148618,148445,147457,147274,146498,146327,146102,145356,144416,144089,143759,139436,139427,138580,136607,136606,136268,136267,129648,134860,131935,130239,130147,130145,130136,129644,128252,126936,125863,125419,122383,121299,118701,118694,118691,118690,118681,118676,117158,117157,113130,109940,109939,109936,109935,109934,109933,108582
195;184257,184256,142663,142608,136110,126319,125860,125858
196;186915,185130,184129,180164,179703,176912,174515,174169,164717,164529,164620,164617,164616,164551,164547,152544,144129,136042,136038,134194,135984,128893,128507,126948,122684,122680,122676,122499,119627,118539,118297,107225,105760,105433,105036,104989,104483,98301
197;155468,155467,138742,138741,138740,135585,135579,125886,122588,121989,113381,113375
198;186757,176882,176881,174706,167710,165307,155330,160525,155029,155000,147628,147624,130050,134885,119421,119420,105036,104989,104483
199;125859,125857
200;176882,174706,167710,155330,160525,155029,155000,139075,138790,126755,134833,104058,134832
201;146786,136113,135975,126753,117910,117907,117905
202;139181,128573,92643,92637,92120,91780
203;184833,184792,182909,175728,139314,133026,133024,129071,118626,108914,108898,108897,108896,92638,91882
204;184831,184805,180725,176434,175847,173270,169264,169256,168121,167901,167206,163487,157459,139666,139316,139020,133019,130122,128366,128362,128361,121869,118781,118776,118768,118764,118762,118748,118670,118662,117184,108913,108911,108904,108901,91907,91906,91903
205;176437,175592,139818,139664,133027,113087,108910,104507,92641,92640,92167
