author_id;publication_id
380;185168,184839,182572,181421,174491,175624,171358,170092,169515,169514,169512,169510,164161,153176,141059,135943
381;182211,181653,177375,171363,175605,157188,144633,141652,175610,140794,133259,136254,131511,125504,133274,114819,133286
382;185123,183643,175642,175640,173176,181886,170529,170521,171680,132244,131583,131577,125775,116745,104879,92831,92454
383;186486,181423,180957,176718,175057,168999,166492
385;178003,170417,170038,153176
386;184529,170417,170416,170413,170038,153176,152639,107296
387;183553,182416,178266,154279,125614
388;180880,176584,169510,169236,168992,168625,148283,148090,178043,128076,116652
389;179355,177900,169449,169231,163855,128076
390;186823,186825,175959,178007,176549,170518,148090,116652
391;169496,169495,169494,169492,169488,169486,169485,169483,168992,166270,157035,116563
393;170897,166270,152574,132233,116652,116518
394;185887,185621,184846,182519,180880,176584,175322,175060,171812,169504,169502,169501,169500,169499,168576,168241,167593,166270,164492,159228,157305,154513,153482,147519,140002,132152,116169,107403,109369,107407
395;187309,166270,128052,110751
396;184856,182070,175490,164772,140723,139999,132636,132639
397;180384,164959,164772,145260,144128,127974
398;103288,114854
399;118480,107936,107933,97939
400;161788
401;181982,170981,145598,145401,111107
402;186613,181697,181052,178727,173636,155097,177393,175231,175230,175229,173129,172794,172773,172166,170989,170910,166304,165422,164783,164764,163316,155366,146250,145586,145097,136893,135619,124654,125575,118898,134139,107877,106975,103303,103299,114473
403;110286
404;170807
405;170807
406;185434,179983,105933,91687
407;185659,184505,178962,178112,175434,174861,170807,170806,164121,162946,152618,143488,135786,131920,100010
408;162948,123135
409;170807
410;165033,143481,101005
411;184556,163854,163821,132149,101049
412;180943,174364,176992,165032,145749,115926,127328,99568,91682
413;180943,174364,176992,165032,145749,136970,127147,127334,123626,115926,127328,102963,99568,91682
415;136781,136779,122329,116186
416;181249,181246,173213,173209,171098,165031,154661,154156,154098,154096,154153,134477,139283,125440,116918,116614,115196,115145,103511,99471,99470,103502,92843,91679,91678
418;140842
419;178360
421;185414
422;139725
423;168559,168558,148863,148082,139862,139784,131063,128611,132991,121768,108178,104637
424;184577,175898,169388,144328,143780,172914
425;178838,170875,178842,124113
426;135667,117525,178097
427;184713,184674,179595,177434,166244,160336,149447,118181
428;184745,184737,184530,180131,174616,169390,169389,160884,117613
429;185488,184675,177966,177500,176484,171245,171396,170084,169980,164738,161382,162259,153528,177367,177359,117617,110000
430;185488,176484,171396,169980,162259,153528,149092,122589,117617,117581
431;130733,130731
432;177765,141103,146943,98026,98023,98022,92051,91493
433;115040
434;187263,186007,184984,113898
435;179421,121545,113961,111318,111306,94406
436;155326,94732
437;174821,171914,144865,129561,127130,119647,107086,105555,104428
438;183068,171053,168569,167719,153549,149920,128814,120014,105555,104857,106651,106648,92461,132691
439;187209,170401,134627,92461
440;185828,180202,180675,175906,169903,168681,167370,166151,156712,153549,153183,151150,149027,148442,142856,135054,133291,127141,120427,117640,108043,106248
441;180202,176231,176229,148442,135054,135053,133291
442;141980,138546,136035,133321,131003,144250
443;177967,177966,161697,150700,141980,137911,131499,128885,112434
444;174189,174130,169321,161320,162287,136088,123555,119079,118488,106452,93952
445;175842,174130,154780,136088,123554,118488,116768,116556,113559,106458
446;144865,112120,105886,104857,106093,92700,92690,92461
